,func_name,running_duration,energy_consumed,size,runtime_pred,energy_pred,runtime_error,energy_error,endpoint
0,__main__.graph_bfs,0.091675,379029.1821480254,2,0.10729123578202257,528451.1769840769,0.015616235782022564,149421.99483605148,desktop
1,__main__.graph_bfs,0.081852,250538.76199645828,2,0.10729123578202257,528451.1769840769,0.025439235782022576,277912.41498761857,desktop
2,__main__.graph_bfs,0.098561,382653.0665045753,2,0.10729123578202257,528451.1769840769,0.008730235782022575,145798.11047950154,desktop
3,__main__.graph_bfs,0.069407,221703.31360087264,2,0.10729123578202257,528451.1769840769,0.037884235782022574,306747.8633832042,desktop
4,__main__.graph_bfs,0.068841,220403.65118337236,2,0.10729123578202257,528451.1769840769,0.03845023578202257,308047.5258007045,desktop
5,__main__.graph_bfs,0.066359,218872.68568102457,2,0.10729123578202257,528451.1769840769,0.04093223578202257,309578.4913030523,desktop
6,__main__.graph_bfs,0.098562,396166.33931198623,2,0.10729123578202257,528451.1769840769,0.008729235782022574,132284.83767209062,desktop
7,__main__.graph_bfs,0.099368,419868.74477658607,2,0.10729123578202257,528451.1769840769,0.007923235782022572,108582.43220749078,desktop
8,__main__.graph_bfs,0.063993,265939.72908539977,2,0.10729123578202257,528451.1769840769,0.043298235782022576,262511.4478986771,desktop
9,__main__.graph_bfs,0.060184,249539.75268328283,2,0.10729123578202257,528451.1769840769,0.04710723578202257,278911.424300794,desktop
10,__main__.graph_bfs,0.063,346001.35763650015,2,0.10729123578202257,528451.1769840769,0.04429123578202257,182449.8193475767,desktop
11,__main__.graph_bfs,0.063548,259731.05445840396,2,0.10729123578202257,528451.1769840769,0.04374323578202258,268720.1225256729,desktop
12,__main__.graph_bfs,0.061057,255665.0592765715,2,0.10729123578202257,528451.1769840769,0.04623423578202257,272786.11770750536,desktop
13,__main__.graph_bfs,0.062331,338134.61092801765,2,0.10729123578202257,528451.1769840769,0.04496023578202257,190316.5660560592,desktop
14,__main__.graph_bfs,0.06314,374138.8893137397,2,0.10729123578202257,528451.1769840769,0.04415123578202257,154312.28767033713,desktop
15,__main__.graph_bfs,0.06086,356140.1094710827,2,0.10729123578202257,528451.1769840769,0.04643123578202257,172311.06751299417,desktop
16,__main__.graph_mst,0.071215,17527.895409852266,2,0.12649724890725242,504843.1434073541,0.05528224890725242,487315.2479975018,desktop
17,__main__.graph_mst,0.060777,38162.19360092096,2,0.12649724890725242,504843.1434073541,0.06572024890725242,466680.9498064331,desktop
18,__main__.graph_mst,0.07059,64959.59383308701,2,0.12649724890725242,504843.1434073541,0.05590724890725242,439883.54957426706,desktop
19,__main__.graph_mst,0.06434,82889.13494974747,2,0.12649724890725242,504843.1434073541,0.062157248907252424,421954.0084576066,desktop
20,__main__.graph_mst,0.062771,6677.647188784555,2,0.12649724890725242,504843.1434073541,0.06372624890725243,498165.4962185695,desktop
21,__main__.graph_mst,0.104666,38923.18689440377,2,0.12649724890725242,504843.1434073541,0.021831248907252424,465919.9565129503,desktop
22,__main__.graph_mst,0.070719,18480.738579835743,2,0.12649724890725242,504843.1434073541,0.055778248907252415,486362.40482751833,desktop
23,__main__.graph_mst,0.088799,18462.394255254418,2,0.12649724890725242,504843.1434073541,0.037698248907252416,486380.74915209966,desktop
24,__main__.graph_mst,0.065081,25524.800600562245,2,0.12649724890725242,504843.1434073541,0.06141624890725242,479318.3428067918,desktop
25,__main__.graph_mst,0.093039,26124.37334745191,2,0.12649724890725242,504843.1434073541,0.03345824890725242,478718.77005990216,desktop
26,__main__.graph_mst,0.092648,26576.024640604854,2,0.12649724890725242,504843.1434073541,0.033849248907252424,478267.1187667492,desktop
27,__main__.graph_mst,0.062675,33553.95389820635,2,0.12649724890725242,504843.1434073541,0.06382224890725242,471289.1895091477,desktop
59,__main__.graph_mst,0.092043,74961.16073597781,2,0.12649724890725242,504843.1434073541,0.03445424890725242,429881.98267137626,desktop
60,__main__.graph_mst,0.098149,68896.47987627424,2,0.12649724890725242,504843.1434073541,0.02834824890725242,435946.66353107983,desktop
61,__main__.graph_mst,0.098081,83422.7697814256,2,0.12649724890725242,504843.1434073541,0.028416248907252417,421420.3736259285,desktop
62,__main__.graph_mst,0.082642,75811.11926287226,2,0.12649724890725242,504843.1434073541,0.043855248907252425,429032.0241444818,desktop
28,__main__.graph_pagerank,6.662531,26404999.04292293,2,6.139218486874661,12019772.130839437,0.5233125131253393,14385226.912083492,desktop
29,__main__.graph_pagerank,6.862976,27600128.361874342,2,6.139218486874661,12019772.130839437,0.7237575131253386,15580356.231034905,desktop
30,__main__.graph_pagerank,6.527281,26286544.037962243,2,6.139218486874661,12019772.130839437,0.38806251312533924,14266771.907122806,desktop
31,__main__.graph_pagerank,6.826927,27450791.803364433,2,6.139218486874661,12019772.130839437,0.6877085131253393,15431019.672524996,desktop
32,__main__.graph_pagerank,6.322234,22115328.07089111,2,6.139218486874661,12019772.130839437,0.1830155131253388,10095555.940051671,desktop
33,__main__.graph_pagerank,4.279654,31622119.606726266,2,6.139218486874661,12019772.130839437,1.8595644868746612,19602347.47588683,desktop
34,__main__.graph_pagerank,4.371784,31561457.08516842,2,6.139218486874661,12019772.130839437,1.7674344868746612,19541684.954328984,desktop
35,__main__.graph_pagerank,4.173617,29399273.629123993,2,6.139218486874661,12019772.130839437,1.965601486874661,17379501.498284556,desktop
36,__main__.graph_pagerank,6.336337,24778242.60816244,2,6.139218486874661,12019772.130839437,0.19711851312533923,12758470.477323003,desktop
